date,max_temperature,precipitation,snow_depth,dow,weekday,trips
2017-12-17T00:00:00Z,38,0,1.2,0,FALSE,21402
2017-12-18T00:00:00Z,47,0.02,0,1,TRUE,38754
2017-12-19T00:00:00Z,55,0,0,2,TRUE,47702
2017-12-20T00:00:00Z,51,0,0,3,TRUE,40035
2017-12-21T00:00:00Z,39,0,0,4,TRUE,36156
2017-12-22T00:00:00Z,50,0,0,5,TRUE,32659
2017-12-23T00:00:00Z,48,0.49,0,6,FALSE,9246
2017-12-24T00:00:00Z,41,0.01,0,0,FALSE,11868
2017-12-25T00:00:00Z,38,0.23,0,1,TRUE,5437
2017-12-26T00:00:00Z,28,0,0,2,TRUE,13269
2017-12-27T00:00:00Z,24,0,0,3,TRUE,15592
2017-12-28T00:00:00Z,18,0,0,4,TRUE,12946
2017-12-29T00:00:00Z,22,0,0,5,TRUE,13221
2017-12-30T00:00:00Z,23,0.05,0,6,FALSE,5719
2017-12-31T00:00:00Z,21,0,0,0,FALSE,6302
2018-01-01T00:00:00Z,19,0,0,1,TRUE,5500
2018-01-02T00:00:00Z,26,0,0,2,TRUE,18818
2018-01-03T00:00:00Z,30,0,0,3,TRUE,24299
2018-01-04T00:00:00Z,29,0.76,1.2,4,TRUE,1922
2018-01-05T00:00:00Z,19,0,7.1,5,TRUE,4972
2018-01-06T00:00:00Z,13,0,5.9,6,FALSE,4295
2018-01-07T00:00:00Z,18,0,5.9,0,FALSE,5640
2018-01-08T00:00:00Z,31,0.01,5.1,1,TRUE,15821
2018-01-09T00:00:00Z,44,0,5.1,2,TRUE,25091
2018-01-10T00:00:00Z,43,0,3.9,3,TRUE,28252
2018-01-11T00:00:00Z,53,0,3.1,4,TRUE,33961
2018-01-12T00:00:00Z,61,0.54,0,5,TRUE,22254
2018-01-13T00:00:00Z,58,0.05,0,6,FALSE,17760
2018-01-14T00:00:00Z,25,0,0,0,FALSE,12399
2018-01-15T00:00:00Z,30,0,0,1,TRUE,17637
2018-01-16T00:00:00Z,36,0,0,2,TRUE,30278
2018-01-17T00:00:00Z,36,0.19,0,3,TRUE,19010
2018-01-18T00:00:00Z,32,0,0,4,TRUE,27662
2018-01-19T00:00:00Z,41,0,0,5,TRUE,30525
2018-01-20T00:00:00Z,52,0,0,6,FALSE,28507
2018-01-21T00:00:00Z,50,0,0,0,FALSE,27908
2018-01-22T00:00:00Z,49,0.01,0,1,TRUE,36865
2018-01-23T00:00:00Z,60,0.3,0,2,TRUE,28797
2018-01-24T00:00:00Z,44,0,0,3,TRUE,36078
2018-01-25T00:00:00Z,34,0,0,4,TRUE,31147
2018-01-26T00:00:00Z,38,0,0,5,TRUE,33073
2018-01-27T00:00:00Z,56,0,0,6,FALSE,34351
2018-01-28T00:00:00Z,55,0.21,0,0,FALSE,20101
2018-01-29T00:00:00Z,47,0,0,1,TRUE,36799
2018-01-30T00:00:00Z,36,0.11,0,2,TRUE,27996
2018-01-31T00:00:00Z,33,0,0,3,TRUE,31276
2018-02-01T00:00:00Z,45,0.05,0,4,TRUE,35561
2018-02-02T00:00:00Z,41,0.18,0,5,TRUE,26313
2018-02-03T00:00:00Z,31,0,0,6,FALSE,18385
2018-02-04T00:00:00Z,46,0.96,0,0,FALSE,13959
2018-02-05T00:00:00Z,40,0,0,1,TRUE,29068
2018-02-06T00:00:00Z,37,0,0,2,TRUE,34102
2018-02-07T00:00:00Z,45,0.85,0,3,TRUE,15289
2018-02-08T00:00:00Z,33,0,0,4,TRUE,31564
2018-02-09T00:00:00Z,39,0,0,5,TRUE,31567
2018-02-10T00:00:00Z,50,0.58,0,6,FALSE,16324
2018-02-11T00:00:00Z,62,1.21,0,0,FALSE,8809
2018-02-12T00:00:00Z,62,0,0,1,TRUE,35139
2018-02-13T00:00:00Z,38,0,0,2,TRUE,35189
2018-02-14T00:00:00Z,53,0.08,0,3,TRUE,39591
2018-02-15T00:00:00Z,62,0.16,0,4,TRUE,44193
2018-02-16T00:00:00Z,58,0.09,0,5,TRUE,29191
2018-02-17T00:00:00Z,40,0.52,0,6,FALSE,17921
2018-02-18T00:00:00Z,44,0.01,3.1,0,FALSE,21538
2018-02-19T00:00:00Z,49,0.04,0,1,TRUE,25677
2018-02-20T00:00:00Z,67,0,0,2,TRUE,44480
2018-02-21T00:00:00Z,78,0.06,0,3,TRUE,53115
2018-02-22T00:00:00Z,59,0.17,0,4,TRUE,27010
2018-02-23T00:00:00Z,42,0.06,0,5,TRUE,25634
2018-02-24T00:00:00Z,55,0.08,0,6,FALSE,25550
2018-02-25T00:00:00Z,44,0.73,0,0,FALSE,16150
2018-02-26T00:00:00Z,52,0,0,1,TRUE,42570
2018-02-27T00:00:00Z,56,0,0,2,TRUE,48516
2018-02-28T00:00:00Z,61,0,0,3,TRUE,50709
2018-03-01T00:00:00Z,60,0.38,0,4,TRUE,45564
2018-03-02T00:00:00Z,44,1.86,0,5,TRUE,6855
2018-03-03T00:00:00Z,49,0,0,6,FALSE,28364
2018-03-04T00:00:00Z,44,0,0,0,FALSE,25262
2018-03-05T00:00:00Z,43,0,0,1,TRUE,36774
2018-03-06T00:00:00Z,47,0,0,2,TRUE,42689
2018-03-07T00:00:00Z,39,1.41,0,3,TRUE,8188
2018-03-08T00:00:00Z,39,0,3.1,4,TRUE,28440
2018-03-09T00:00:00Z,42,0,2,5,TRUE,34912
2018-03-10T00:00:00Z,40,0,0,6,FALSE,25444
2018-03-11T00:00:00Z,45,0,0,0,FALSE,27597
2018-03-12T00:00:00Z,43,0.08,0,1,TRUE,36340
2018-03-13T00:00:00Z,40,0.28,0,2,TRUE,23137
2018-03-14T00:00:00Z,41,0.01,0,3,TRUE,35377
